Kommentar-ID;Artikel-ID;Datum;Titel;Anzahl_Kommentare;Problematisierung;Lösungsvorschlag;Anzahl_Lösungsvorschläge;I_Ausführlichkeit;Konstruktive_Wortwahl;Mitigation/Adaption;Bürger_innen;II_Ausführlichkeit;Kommentar;User-Name;Lösungsansätze;Haltung_Lösungsansätze;Haltung_Klimakrise;Adressat_in;Lob;Kritik;Beleidigung_Inzivilität
ZO_002_001;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Bei mir ergibt sich für mein 86. Lebensjahr zwischen weniger Klimaschutz und mehr Klimaschutz ein Unterschied von 0,2 Grad. Das wird viele nicht hinter dem Ofen (schräges Bild) hervorholen. Nicht falsch verstehen, ich halte die Situation für dramatisch, aber ganz viele überzeugt man so nicht, es geht nur über steigende Kosten für fossile Rohstoffe, Umweltschäden und Gesundheit, das ist greifbar, aber nicht 0,2 Grad!;roseman;2;99;1;9;4;4;3
ZO_002_002;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Unsere Enkelkinder zu schützen, und mit ihnen alle Menschen, Natur und Klima, das ist unsere dringlichste Aufgabe.
Und das ist auch die dringlichste Aufgabe der Politik.
Darum sollten alle Ministerien dem Klimaministerium untergeordnet werden.";Tatamei;2;99;1;1;4;4;3
ZO_002_003;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Ich frage mich gerade, bis wie viel Grad Erderwärmung es sich finanziell lohnt, bei der alten Heizung zu bleiben.;Sheeple;4;99;9;9;4;4;3
ZO_002_004;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Als 2001er sagt mir der Artikel:
""Dramatische Knappheit von Lebensmitteln und Wasser"" wenn ich 65 bin.
Aber nennt diejenigen, die sich auflehnen gegen diese existentielle Bedrohung ruhig weiter ""Klimaterroristen"" und ""Chaoten"". Fahrt doch mit euren übergroßen SUVs zur Arbeit und verpestet weiter unsere Umwelt. Verratet weiter an der Wahlurne unsere Zukunft aus nichts als Bequemlichkeit und Ignoranz. Nur, dass euch eure Kinder und Enkelkinder am Herzen liegen, das kann man euch leider nicht mehr glauben.";Bigsby;4;99;1;6;4;4;3
ZO_002_005;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Wie schön es wäre, eine mutige Regierung zu haben, die beim Klimaschutz entschlossen voran ginge und sich nicht scheute, global eine Voreiterrolle einzunehmen.
Das würde unabhängig vom Deutschen Einfluss auf die Erderwärmung zeigen was geht. Es würde andere Länder motivieren nachziehen und die Wirtschaft würde durch den Export klimafreundlicher Technologien massiv profitieren.
Wie man das ganze finanziert? Vermögenssteuer, Erbschaftssteuer, Kapitalertragssteuer.
Die Reichen zu belangen ist doof?
Mag sein, es ist aber auch alternativlos. Wer Geld hat, wird bezahlen müssen. Die Frage ist nur, ob die Reichen den Klimaschutz oder die Anpassung während die Klimakatastrophe in vollem Gange ist bezahlen. Wenn sie den Klimaschutz finanzieren, können sie wenigstens noch ihre Assets retten.";Dirk Müller3000;2;99;1;1;4;4;3
ZO_002_006;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Umso bewundernswerter, dass ein Teil der jungen Generation ihre letzten halbwegs angenehmen Jahre dazu nutzt, um in ihrer Freizeit für das Klima zu kämpfen.
An alle, die weiterhin jeden Tag Schnitzel futtern und SUV fahren: An euren Händen klebt Blut, und ihr habt dem aktiv zugestimmt.";Mr.Fahrenheit;4;99;1;6;4;4;3
ZO_002_007;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;"Vielen Dank für diese tollen Visualisierungen!
Ich hoffe es wird endlich mal Vollgas gegeben beim Klimaschutz.";Mannmitschuh;4;99;1;9;1;4;3
ZO_002_008;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Toll, dass für Menschen schwer vorstellbare, fatale Konsequenzen in der Zukunft besser greifbar werden! Das macht das Ziel für alle klarer.;wein2003;4;99;1;9;4;4;3
ZO_002_009;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Wäre es nicht gut, so eine wichtige Darstellung, die die Klimawandelfolgen greifbar macht, nicht hinter der Bezahlschranke zu verstecken sondern möglichst vielen Menschen zugänglich zu machen?;FlinkerFüller;4;99;1;7;4;1;3
ZO_002_010;ZO_002;230324;In welcher Klimazukunft werden wir leben?;394;1;2;0;99;2;99;99;99;Ach ja...es gibt auch Vorteile der Erwärmung...besseres Landwirtschaft , besonders im Norden, Wetter in D....;Dorisursula;4;99;2;9;4;4;3
